Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"A. Michelson, S. Yu, A. Gupta, A. M. Lai, M. H. Kollef, P. R. O. Payne","A Machine Learning Approach to Sepsis Prediction in non-Intensive Care Unit Patients",2019,"American Journal Of Respiratory And Critical Care Medicine","Amer Thoracic Soc","","",19,"2020-08-04 13:36:23","Meeting Abstract","","1073-449X","",199,,,,0,0.00,0,6,1,""
73,"Allison Sutherland, Mervyn Thomas, Roslyn A. Brandon, Richard B. Brandon, Jeffrey Lipman, Benjamin Tang, Anthony McLean, Ranald Pascoe, Gareth Price, Thu Nguyen, Glenn Stone, Deon Venter","Development and validation of a novel molecular biomarker diagnostic test for the early detection of sepsis",2011,"Critical Care","Biomed Central Ltd","","",2,"2020-08-04 13:36:23","Article","10.1186/cc10274","1466-609X","",15,3,,,73,8.11,7,12,9,"Introduction: Sepsis is a complex immunological response to infection characterized by early hyper-inflammation followed by severe and protracted immunosuppression, suggesting that a multi-marker approach has the greatest clinical utility for early detection, within a clinical environment focused on Systemic Inflammatory Response Syndrome (SIRS) differentiation. Pre-clinical research using an equine sepsis model identified a panel of gene expression biomarkers that define the early aberrant immune activation. Thus, the primary objective was to apply these gene expression biomarkers to distinguish patients with sepsis from those who had undergone major open surgery and had clinical outcomes consistent with systemic inflammation due to physical trauma and wound healing."
1,"Antje Wulff, Sara Montag, Michael Marschollek, Thomas Jack","Clinical Decision-Support Systems for Detection of Systemic Inflammatory Response Syndrome, Sepsis, and Septic Shock in Critically Ill Patients: A Systematic Review",2019,"Methods Of Information In Medicine","Georg Thieme Verlag Kg","","",16,"2020-08-04 13:36:23","Review","10.1055/s-0039-1695717","0026-1270","",58,,,,1,1.00,0,4,1,"Background The design of computerized systems able to support automated detection of threatening conditions in critically ill patients such as systemic inflammatory response syndrome (SIRS) and sepsis has been fostered recently. The increase of research work in this area is due to both the growing digitalization in health care and the increased appreciation of the importance of early sepsis detection and intervention. To be able to understand the variety of systems and their characteristics as well as performances, a systematic literature review is required. Existing reviews on this topic follow a rather restrictive searching methodology or they are outdated. As much progress has been made during the last 5 years, an updated review is needed to be able to keep track of current developments in this area of research. Objectives To provide an overview about current approaches for the design of clinical decision-support systems (CDSS) in the context of SIRS, sepsis, and septic shock, and to categorize and compare existing approaches. Methods A systematic literature review was performed in accordance with the preferred reporting items for systematic reviews and meta-analyses (PRISMA) statement. Searches for eligible articles were conducted on five electronic bibliographic databases, including PubMed/MEDLINE, IEEE Xplore, Embase, Scopus, and ScienceDirect. Initial results were screened independently by two reviewers based on clearly defined eligibility criteria. A backward as well as an updated search enriched the initial results. Data were extracted from included articles and presented in a standardized way. Articles were classified into predefined categories according to characteristics extracted previously. The classification was performed according to the following categories: clinical setting including patient population and mono- or multicentric study, support type of the system such as prediction or detection, systems characteristics such as knowledge- or data-driven algorithms used, evaluation of methodology, and results including ground truth definition, sensitivity, and specificity. All results were assessed qualitatively by two reviewers. Results The search resulted in 2,373 articles out of which 55 results were identified as eligible. Over 80% of the articles describe monocentric studies. More than 50% include adult patients, and only four articles explicitly report the inclusion of pediatric patients. Patient recruitment often is very selective, which can be observed from highly varying inclusion and exclusion criteria. The task of disease detection is covered in 62% of the articles; prediction of upcoming conditions in 33%. Sepsis is covered in 67% of the articles, SIRS as sole entity in only 4%, whereas 27% focus on severe sepsis and/or septic shock. The most common combinations of categories ""algorithm used"" and ""support type"" are knowledge-based detection of sepsis and data-driven prediction of sepsis. In evaluations, manual chart review (38%) and diagnosis coding (29%) represent the most frequently used ground truth definitions; most studies present a sample size between 10,001 and 100,000 cases (31%) and performances highly differ with only five articles presenting sensitivities and specificities above 90%; four of them using knowledge-based rather than machine learning algorithms."
0,"Chris Barton, David Shimabakuru, Mitchel Feldman, Samson Mataraso, Ritankar Das","EFFECT OF A MACHINE LEARNING-BASED SEVERE SEPSIS PREDICTION ALGORITHM ON PATIENT SURVIVAL",2018,"Critical Care Medicine","Lippincott Williams & Wilkins","","",20,"2020-08-04 13:36:23","Meeting Abstract","10.1097/01.ccm.0000529432.50757.3c","0090-3493","",46,1,699,699,0,0.00,0,5,2,""
0,"Chris Barton, David Shimabukuro, Mitchell D. Feldman, Samson Mataroso, Ritankar Das","Effect of a Machine Learning-Based Severe Sepsis Prediction Algorithm on Patient Survival and Hospital Length of Stay",2017,"Circulation","Lippincott Williams & Wilkins","","",21,"2020-08-04 13:36:23","Meeting Abstract","","0009-7322","",136,,,,0,0.00,0,5,3,""
6,"Christopher Barton, Uli Chettipally, Yifan Zhou, Zirui Jiang, Anna Lynn-Palevsky, Sidney Le, Jacob Calvert, Ritankar Das","Evaluation of a machine learning algorithm for up to 48-hour advance prediction of sepsis using six vital signs",2019,"Computers In Biology And Medicine","Pergamon-Elsevier Science Ltd","","",9,"2020-08-04 13:36:23","Article","10.1016/j.compbiomed.2019.04.027","0010-4825","",109,,79,84,6,6.00,1,8,1,"Objective: Sepsis remains a costly and prevalent syndrome in hospitals; however, machine learning systems can increase timely sepsis detection using electronic health records. This study validates a gradient boosted ensemble machine learning tool for sepsis detection and prediction, and compares its performance to existing methods."
41,"David W. Shimabukuro, Christopher W. Barton, Mitchell D. Feldman, Samson J. Mataraso, Ritankar Das","Effect of a machine learning-based severe sepsis prediction algorithm on patient survival and hospital length of stay: a randomised clinical trial",2017,"Bmj Open Respiratory Research","Bmj Publishing Group","","",4,"2020-08-04 13:36:23","Article","10.1136/bmjresp-2017-000234","2052-4439","",4,1,,,41,13.67,8,5,3,"Introduction Several methods have been developed to electronically monitor patients for severe sepsis, but few provide predictive capabilities to enable early intervention; furthermore, no severe sepsis prediction systems have been previously validated in a randomised study. We tested the use of a machine learning-based severe sepsis prediction system for reductions in average length of stay and in-hospital mortality rate."
1,"Eitam Sheetrit, Nir Nissim, Denis Klimov, Yuval Shahar","Temporal Probabilistic Profiles for Sepsis Prediction in the ICU",2019,"Kdd'19: Proceedings Of The 25th Acm Sigkdd International Conferencce On Knowledge Discovery And Data Mining","Assoc Computing Machinery","","",14,"2020-08-04 13:36:23","Proceedings Paper","10.1145/3292500.3330747","","",,,2961,2969,1,1.00,0,4,1,"Sepsis is a condition caused by the body's overwhelming and life-threatening response to infection, which can lead to tissue damage, organ failure, and finally death. Today, sepsis is one of the leading causes of mortality among populations in intensive care units (ICUs). Sepsis is difficult to predict, diagnose, and treat, as it involves analyzing different sets of multivariate time-series, usually with problems of missing data, different sampling frequencies, and random noise. Here, we propose a new dynamic-behavior-based model, which we call a Temporal Probabilistic proFile (TPF), for classification and prediction tasks of multivariate time series. In the TPF method, the raw, time-stamped data are first abstracted into a series of higher-level, meaningful concepts, which hold over intervals characterizing time periods. We then discover frequently repeating temporal patterns within the data. Using the discovered patterns, we create a probabilistic distribution of the temporal patterns of the overall entity population, of each target class in it, and of each entity. We then exploit TPFs as meta-features to classify the time series of new entities, or to predict their outcome, by measuring their TPF distance, either to the aggregated TPF of each class, or to the individual TPFs of each of the entities, using negative cross entropy. Our experimental results on a large benchmark clinical data set show that TPFs improve sepsis prediction capabilities, and perform better than other machine learning approaches."
1,"Eli Bloch, Tammy Rotem, Jonathan Cohen, Pierre Singer, Yehudit Aperstein","Machine Learning Models for Analysis of Vital Signs Dynamics: A Case for Sepsis Onset Prediction",2019,"Journal Of Healthcare Engineering","Hindawi Ltd","","",15,"2020-08-04 13:36:23","Article","10.1155/2019/5930379","2040-2295","",2019,,,,1,1.00,0,5,1,"Objective. Achieving accurate prediction of sepsis detection moment based on bedside monitor data in the intensive care unit (ICU). A good clinical outcome is more probable when onset is suspected and treated on time, thus early insight of sepsis onset may save lives and reduce costs. Methodology. We present a novel approach for feature extraction, which focuses on the hypothesis that unstable patients are more prone to develop sepsis during ICU stay. These features are used in machine learning algorithms to provide a prediction of a patient's likelihood to develop sepsis during ICU stay, hours before it is diagnosed. Results. Five machine learning algorithms were implemented using R software packages. The algorithms were trained and tested with a set of 4 features which represent the variability in vital signs. These algorithms aimed to calculate a patient's probability to become septic within the next 4 hours, based on recordings from the last 8 hours. The best area under the curve (AUC) was achieved with Support Vector Machine (SVM) with radial basis function, which was 88.38%. Conclusions. The high level of predictive accuracy along with the simplicity and availability of input variables present great potential if applied in ICUs. Variability of a patient's vital signs proves to be a good indicator of one's chance to become septic during ICU stay."
3,"Franco van Wyk, Anahita Khojandi, Rishikesan Kamaleswaran","Improving Prediction Performance Using Hierarchical Analysis of Real-Time Data: A Sepsis Case Study",2019,"Ieee Journal Of Biomedical And Health Informatics","Ieee-Inst Electrical Electronics Engineers Inc","","",11,"2020-08-04 13:36:23","Article","10.1109/JBHI.2019.2894570","2168-2194","",23,3,978,986,3,3.00,1,3,1,"This paper presents a novel method for hierarchical analysis of machine learning algorithms to improve predictions of at risk patients, thus further enabling prompt therapy. Specifically, we develop a multi-layer machine learning approach to analyze continuous, high-frequency data. We illustrate the capabilities of this approach for early identification of patients at risk of sepsis, a potentially life-threatening complication of an infection, using high-frequency (minute-by-minute) physiological data collected from bedside monitors. In our analysis of a cohort of 586 patients, the model obtained from analyzing the output of a previously developed sepsis prediction model resulted in improved outcomes. Specifically, the original model failed to predict 11.76 +/- 4.26% of sepsis patients earlier than Systemic Inflammatory Response Syndrome (SIRS) criteria, commonly used to identify patients at risk for rapid physiological deterioration resulting from sepsis. In contrast, the multi-layer model only failed to predict 3.21 +/- 3.11% of sepsis patients earlier than SIRS. In addition, sepsis patients were predicted on average 204.87 +/- 7.90 minutes earlier than SIRS criteria using the multi-layer model, which can potentially help reduce mortality and morbidity if implemented in the ICU."
